product_title,train_months,holdout,actual_units,forecast_units,mae,mape,mase,forecast_method
REUSABLE SANDWICH BAG - SET OF 2,21,2025-07 – 2025-09,1,11,3.3,15.2,1.295,Seasonal Index
Mini Wellness Juice Bottles - Set of 6,21,2025-07 – 2025-09,11,12,1.9,39.4,0.718,Seasonal Index
Reusable Food Storage Bags,27,2025-07 – 2025-09,16,3,4.5,85.1,3.32,Seasonal ETS
Reusable Sandwich Bags,27,2025-07 – 2025-09,15,9,1.9,60.7,1.048,Seasonal ETS
Laser Engraving,10,2025-07 – 2025-09,7,17,3.3,57.9,1.251,Non-seasonal ETS
MontiiCo Mega Bumpers (Original Design),25,2025-07 – 2025-09,7,9,0.8,39.1,0.429,Seasonal ETS
MontiiCo Pencil Case,22,2025-07 – 2025-09,9,8,2.4,91.5,1.047,Seasonal Index
Kids Raw Honey Baltic Amber Teething Necklace,33,2025-07 – 2025-09,5,5,1.2,81.3,1.271,Seasonal ETS
MontiiCo Dip & Sauce Surprise Box,22,2025-07 – 2025-09,5,2,1.9,87.5,1.312,Seasonal Index
Unicorn Silicone Condiment Squeeze Bottles,15,2025-07 – 2025-09,9,6,2.5,93.5,1.302,Seasonal Index
MontiiCo Coffee Cup,8,2025-07 – 2025-09,6,8,1.6,122.6,0.641,Non-seasonal ETS
Yumbox Mini Silicone Bento Cup - Set of 6,6,2025-07 – 2025-09,6,6,2.0,79.7,1.254,Non-seasonal ETS
